"Week End","Week End Last Year","Region","Crude Volumes For The Week","Percent Of Capacity","4 Week Average","4 Week Average Last Year","YTD Average","YTD Average Last Year","Unit"
"07/17/1990","01/02/1990","Ontario","74.760","72.370","79.510","83.360","74.470","83.360","thousand cubic metres per day"
"07/17/1990","01/02/1990","Quebec & Eastern Canada","86.930","95.420","75.880","86.050","81.240","86.050","thousand cubic metres per day"
"07/17/1990","01/02/1990","Western Canada","75.570","89.330","76.550","63.770","69.890","63.770","thousand cubic metres per day"
"07/24/1990","01/02/1990","Ontario","74.540","72.160","77.780","83.360","74.470","83.360","thousand cubic metres per day"
"07/24/1990","01/02/1990","Quebec & Eastern Canada","88.640","97.300","80.120","86.050","81.490","86.050","thousand cubic metres per day"
"07/24/1990","01/02/1990","Western Canada","63.740","75.340","73.100","63.770","69.690","63.770","thousand cubic metres per day"
"07/31/1990","01/02/1990","Ontario","82.310","79.680","78.120","83.360","74.720","83.360","thousand cubic metres per day"
"07/31/1990","01/02/1990","Quebec & Eastern Canada","89.440","98.180","84.960","86.050","81.740","86.050","thousand cubic metres per day"
"07/31/1990","01/02/1990","Western Canada","65.490","77.410","70.310","63.770","69.550","63.770","thousand cubic metres per day"
"08/07/1990","01/02/1990","Ontario","84.270","81.580","78.970","83.360","75.020","83.360","thousand cubic metres per day"
"08/07/1990","01/02/1990","Quebec & Eastern Canada","89.280","98.000","88.570","86.050","81.980","86.050","thousand cubic metres per day"
"08/07/1990","01/02/1990","Western Canada","69.680","82.360","68.620","63.770","69.560","63.770","thousand cubic metres per day"
"08/14/1990","01/02/1990","Ontario","82.200","79.570","80.830","83.360","75.240","83.360","thousand cubic metres per day"
"08/14/1990","01/02/1990","Quebec & Eastern Canada","83.700","91.880","87.770","86.050","82.030","86.050","thousand cubic metres per day"
"08/14/1990","01/02/1990","Western Canada","80.410","95.050","69.830","63.770","69.890","63.770","thousand cubic metres per day"
"08/21/1990","01/02/1990","Ontario","85.320","82.590","83.530","83.360","75.530","83.360","thousand cubic metres per day"
"08/21/1990","01/02/1990","Quebec & Eastern Canada","84.290","92.520","86.680","86.050","82.090","86.050","thousand cubic metres per day"
"08/21/1990","01/02/1990","Western Canada","81.790","96.680","74.350","63.770","70.240","63.770","thousand cubic metres per day"
"08/28/1990","01/02/1990","Ontario","84.740","82.030","84.130","83.360","75.800","83.360","thousand cubic metres per day"
"08/28/1990","01/02/1990","Quebec & Eastern Canada","88.620","97.280","86.470","86.050","82.280","86.050","thousand cubic metres per day"
"08/28/1990","01/02/1990","Western Canada","84.010","99.300","78.980","63.770","70.630","63.770","thousand cubic metres per day"
"09/04/1990","01/02/1990","Ontario","83.130","80.470","83.850","83.360","76.000","83.360","thousand cubic metres per day"
"09/04/1990","01/02/1990","Quebec & Eastern Canada","91.090","99.990","86.930","86.050","82.530","86.050","thousand cubic metres per day"
"09/04/1990","01/02/1990","Western Canada","75.950","89.780","80.540","63.770","70.780","63.770","thousand cubic metres per day"
"09/11/1990","01/02/1990","Ontario","82.180","79.550","83.850","83.360","76.170","83.360","thousand cubic metres per day"
"09/11/1990","01/02/1990","Quebec & Eastern Canada","91.450","100.380","88.860","86.050","82.770","86.050","thousand cubic metres per day"
"09/11/1990","01/02/1990","Western Canada","66.370","78.450","77.030","63.770","70.660","63.770","thousand cubic metres per day"
"09/18/1990","01/02/1990","Ontario","72.930","70.600","80.750","83.360","76.080","83.360","thousand cubic metres per day"
"09/18/1990","01/02/1990","Quebec & Eastern Canada","91.990","100.980","90.790","86.050","83.010","86.050","thousand cubic metres per day"
"09/18/1990","01/02/1990","Western Canada","66.380","78.460","73.180","63.770","70.550","63.770","thousand cubic metres per day"
"09/25/1990","01/02/1990","Ontario","76.280","73.840","78.630","83.360","76.090","83.360","thousand cubic metres per day"
"09/25/1990","01/02/1990","Quebec & Eastern Canada","86.700","95.170","90.310","86.050","83.100","86.050","thousand cubic metres per day"
"09/25/1990","01/02/1990","Western Canada","66.550","78.660","68.810","63.770","70.440","63.770","thousand cubic metres per day"
"10/02/1990","01/02/1990","Ontario","81.890","79.270","78.320","83.360","76.230","83.360","thousand cubic metres per day"
"10/02/1990","01/02/1990","Quebec & Eastern Canada","85.400","93.740","88.890","86.050","83.160","86.050","thousand cubic metres per day"
"10/02/1990","01/02/1990","Western Canada","73.070","86.370","68.100","63.770","70.510","63.770","thousand cubic metres per day"
"10/09/1990","01/02/1990","Ontario","80.670","78.090","77.950","83.360","76.340","83.360","thousand cubic metres per day"
"10/09/1990","01/02/1990","Quebec & Eastern Canada","86.280","94.710","87.590","86.050","83.240","86.050","thousand cubic metres per day"
"10/09/1990","01/02/1990","Western Canada","75.850","89.660","70.460","63.770","70.640","63.770","thousand cubic metres per day"
"10/16/1990","01/02/1990","Ontario","82.410","79.780","80.310","83.360","76.490","83.360","thousand cubic metres per day"
"10/16/1990","01/02/1990","Quebec & Eastern Canada","85.210","93.530","85.900","86.050","83.290","86.050","thousand cubic metres per day"
"10/16/1990","01/02/1990","Western Canada","72.350","85.520","71.960","63.770","70.680","63.770","thousand cubic metres per day"
"10/23/1990","01/02/1990","Ontario","76.260","73.820","80.310","83.360","76.480","83.360","thousand cubic metres per day"
"10/23/1990","01/02/1990","Quebec & Eastern Canada","82.430","90.480","84.830","86.050","83.270","86.050","thousand cubic metres per day"
"10/23/1990","01/02/1990","Western Canada","74.320","87.850","73.900","63.770","70.760","63.770","thousand cubic metres per day"
"10/30/1990","01/02/1990","Ontario","80.720","78.140","80.020","83.360","76.580","83.360","thousand cubic metres per day"
"10/30/1990","01/02/1990","Quebec & Eastern Canada","84.830","93.120","84.690","86.050","83.300","86.050","thousand cubic metres per day"
"10/30/1990","01/02/1990","Western Canada","79.880","94.420","75.600","63.770","70.970","63.770","thousand cubic metres per day"
"11/06/1990","01/02/1990","Ontario","82.690","80.050","80.520","83.360","76.710","83.360","thousand cubic metres per day"
"11/06/1990","01/02/1990","Quebec & Eastern Canada","90.100","98.900","85.640","86.050","83.450","86.050","thousand cubic metres per day"
"11/06/1990","01/02/1990","Western Canada","77.940","92.130","76.120","63.770","71.130","63.770","thousand cubic metres per day"
"11/13/1990","01/02/1990","Ontario","84.710","82.000","81.100","83.360","76.890","83.360","thousand cubic metres per day"
"11/13/1990","01/02/1990","Quebec & Eastern Canada","88.550","97.200","86.480","86.050","83.560","86.050","thousand cubic metres per day"
"11/13/1990","01/02/1990","Western Canada","75.690","89.470","76.960","63.770","71.220","63.770","thousand cubic metres per day"
"11/20/1990","01/02/1990","Ontario","82.150","79.530","82.570","83.360","77.000","83.360","thousand cubic metres per day"
"11/20/1990","01/02/1990","Quebec & Eastern Canada","82.340","90.380","86.460","86.050","83.540","86.050","thousand cubic metres per day"
"11/20/1990","01/02/1990","Western Canada","69.520","82.170","75.760","63.770","71.190","63.770","thousand cubic metres per day"
"11/27/1990","01/02/1990","Ontario","83.190","80.530","83.190","83.360","77.130","83.360","thousand cubic metres per day"
"11/27/1990","01/02/1990","Quebec & Eastern Canada","76.150","83.590","84.290","86.050","83.380","86.050","thousand cubic metres per day"
"11/27/1990","01/02/1990","Western Canada","72.060","85.180","73.800","63.770","71.210","63.770","thousand cubic metres per day"
"12/04/1990","01/02/1990","Ontario","81.940","79.320","83.000","83.360","77.230","83.360","thousand cubic metres per day"
"12/04/1990","01/02/1990","Quebec & Eastern Canada","76.390","83.850","80.860","86.050","83.240","86.050","thousand cubic metres per day"
"12/04/1990","01/02/1990","Western Canada","72.330","85.500","72.400","63.770","71.230","63.770","thousand cubic metres per day"
"12/11/1990","01/02/1990","Ontario","83.010","80.360","82.570","83.360","77.340","83.360","thousand cubic metres per day"
"12/11/1990","01/02/1990","Quebec & Eastern Canada","74.990","82.320","77.470","86.050","83.070","86.050","thousand cubic metres per day"
"12/11/1990","01/02/1990","Western Canada","68.020","80.400","70.480","63.770","71.170","63.770","thousand cubic metres per day"
"12/18/1990","01/02/1990","Ontario","77.850","75.360","81.500","83.360","77.350","83.360","thousand cubic metres per day"
"12/18/1990","01/02/1990","Quebec & Eastern Canada","82.710","90.790","77.560","86.050","83.070","86.050","thousand cubic metres per day"
"12/18/1990","01/02/1990","Western Canada","65.810","77.790","69.560","63.770","71.060","63.770","thousand cubic metres per day"
"12/25/1990","01/02/1990","Ontario","82.380","79.750","81.300","83.360","77.450","83.360","thousand cubic metres per day"
